日期,股票代码,名称,收盘价,涨跌幅
2016-07-14,'000001,上证指数,3054.0182,-0.218
2016-07-13,'000001,上证指数,3060.6893,0.3708
2016-07-12,'000001,上证指数,3049.381,1.8186
2016-07-11,'000001,上证指数,2994.9167,0.2283
2016-07-08,'000001,上证指数,2988.0939,-0.9531
2016-07-07,'000001,上证指数,3016.8467,-0.0148
2016-07-06,'000001,上证指数,3017.2924,0.3626
2016-07-05,'000001,上证指数,3006.3919,0.5952
2016-07-04,'000001,上证指数,2988.604,1.914
2016-07-01,'000001,上证指数,2932.4758,0.098
2016-06-30,'000001,上证指数,2929.6057,-0.0678
2016-06-29,'000001,上证指数,2931.5923,0.6535
2016-06-28,'000001,上证指数,2912.5574,0.582
2016-06-27,'000001,上证指数,2895.7033,1.451
2016-06-24,'000001,上证指数,2854.2864,-1.3027
2016-06-23,'000001,上证指数,2891.9602,-0.4677
2016-06-22,'000001,上证指数,2905.5495,0.9377
2016-06-21,'000001,上证指数,2878.5575,-0.3549
2016-06-20,'000001,上证指数,2888.8091,0.1284
2016-06-17,'000001,上证指数,2885.105,0.4277
2016-06-16,'000001,上证指数,2872.8166,-0.4985
2016-06-15,'000001,上证指数,2887.2101,1.584
2016-06-14,'000001,上证指数,2842.1886,0.3218
2016-06-13,'000001,上证指数,2833.0707,-3.2143
2016-06-08,'000001,上证指数,2927.159,-0.3026
2016-06-07,'000001,上证指数,2936.0449,0.0664
2016-06-06,'000001,上证指数,2934.0979,-0.156
2016-06-03,'000001,上证指数,2938.682,0.4599
2016-06-02,'000001,上证指数,2925.2293,0.4023
2016-06-01,'000001,上证指数,2913.5077,-0.1066
2016-05-31,'000001,上证指数,2916.616,3.3363
2016-05-30,'000001,上证指数,2822.4509,0.0498
2016-05-27,'000001,上证指数,2821.046,-0.0495
2016-05-26,'000001,上证指数,2822.4429,0.2613
2016-05-25,'000001,上证指数,2815.0863,-0.2332
2016-05-24,'000001,上证指数,2821.6663,-0.7729
2016-05-23,'000001,上证指数,2843.645,0.6428
2016-05-20,'000001,上证指数,2825.4831,0.6618
2016-05-19,'000001,上证指数,2806.9061,-0.0217
2016-05-18,'000001,上证指数,2807.5141,-1.2719
2016-05-17,'000001,上证指数,2843.6841,-0.2518
2016-05-16,'000001,上证指数,2850.8617,0.8402
2016-05-13,'000001,上证指数,2827.1087,-0.3087
2016-05-12,'000001,上证指数,2835.8618,-0.0414
2016-05-11,'000001,上证指数,2837.0372,0.157
2016-05-10,'000001,上证指数,2832.5912,0.0169
2016-05-09,'000001,上证指数,2832.1125,-2.785
2016-05-06,'000001,上证指数,2913.2476,-2.8218
2016-05-05,'000001,上证指数,2997.8416,0.2196
2016-05-04,'000001,上证指数,2991.2721,-0.0458
2016-05-03,'000001,上证指数,2992.6432,1.8487
2016-04-29,'000001,上证指数,2938.3235,-0.2466
2016-04-28,'000001,上证指数,2945.5886,-0.2736
2016-04-27,'000001,上证指数,2953.6709,-0.372
2016-04-26,'000001,上证指数,2964.6997,0.6119
2016-04-25,'000001,上证指数,2946.6704,-0.4248
2016-04-22,'000001,上证指数,2959.24,0.215
2016-04-21,'000001,上证指数,2952.8911,-0.6625
2016-04-20,'000001,上证指数,2972.5837,-2.3084
2016-04-19,'000001,上证指数,3042.8232,0.302
2016-04-18,'000001,上证指数,3033.6604,-1.4443
2016-04-15,'000001,上证指数,3078.1166,-0.1377
2016-04-14,'000001,上证指数,3082.3615,0.5127
2016-04-13,'000001,上证指数,3066.6381,1.4218
2016-04-12,'000001,上证指数,3023.6464,-0.3398
2016-04-11,'000001,上证指数,3033.957,1.6415
2016-04-08,'000001,上证指数,2984.9582,-0.7799
2016-04-07,'000001,上证指数,3008.42,-1.3824
2016-04-06,'000001,上证指数,3050.592,-0.081
2016-04-05,'000001,上证指数,3053.0654,1.4466
2016-04-01,'000001,上证指数,3009.5298,0.1869
2016-03-31,'000001,上证指数,3003.9152,0.109
2016-03-30,'000001,上证指数,3000.6449,2.7677
2016-03-29,'000001,上证指数,2919.8318,-1.2843
2016-03-28,'000001,上证指数,2957.82,-0.7254
2016-03-25,'000001,上证指数,2979.4343,0.6236
2016-03-24,'000001,上证指数,2960.9704,-1.6276
2016-03-23,'000001,上证指数,3009.9604,0.3533
2016-03-22,'000001,上证指数,2999.3628,-0.6439
2016-03-21,'000001,上证指数,3018.8017,2.1539
2016-03-18,'000001,上证指数,2955.1498,1.7322
2016-03-17,'000001,上证指数,2904.8319,1.1985
2016-03-16,'000001,上证指数,2870.43,0.2116
2016-03-15,'000001,上证指数,2864.3684,0.1703
2016-03-14,'000001,上证指数,2859.499,1.7504
2016-03-11,'000001,上证指数,2810.3074,0.199
2016-03-10,'000001,上证指数,2804.7255,-2.0202
2016-03-09,'000001,上证指数,2862.556,-1.3384
2016-03-08,'000001,上证指数,2901.387,0.1397
2016-03-07,'000001,上证指数,2897.3395,0.8069
2016-03-04,'000001,上证指数,2874.1468,0.5031
2016-03-03,'000001,上证指数,2859.7582,0.3536
2016-03-02,'000001,上证指数,2849.6811,4.2629
2016-03-01,'000001,上证指数,2733.17,1.6812
2016-02-29,'000001,上证指数,2687.9788,-2.8632
2016-02-26,'000001,上证指数,2767.2097,0.9472
2016-02-25,'000001,上证指数,2741.2454,-6.4069
2016-02-24,'000001,上证指数,2928.896,0.8805
2016-02-23,'000001,上证指数,2903.3313,-0.8146
2016-02-22,'000001,上证指数,2927.175,2.348
2016-02-19,'000001,上证指数,2860.0208,-0.1003
2016-02-18,'000001,上证指数,2862.8927,-0.155
2016-02-17,'000001,上证指数,2867.3379,1.0847
2016-02-16,'000001,上证指数,2836.5705,3.2909
2016-02-15,'000001,上证指数,2746.1958,-0.6259
2016-02-05,'000001,上证指数,2763.492,-0.6304
2016-02-04,'000001,上证指数,2781.0227,1.5251
2016-02-03,'000001,上证指数,2739.2469,-0.3755
2016-02-02,'000001,上证指数,2749.5703,2.2581
2016-02-01,'000001,上证指数,2688.8536,-1.7806
2016-01-29,'000001,上证指数,2737.5996,3.0854
2016-01-28,'000001,上证指数,2655.6609,-2.9207
2016-01-27,'000001,上证指数,2735.5578,-0.5174
2016-01-26,'000001,上证指数,2749.7854,-6.4226
2016-01-25,'000001,上证指数,2938.5149,0.7527
2016-01-22,'000001,上证指数,2916.5624,1.2526
2016-01-21,'000001,上证指数,2880.4816,-3.2322
2016-01-20,'000001,上证指数,2976.6938,-1.0322
2016-01-19,'000001,上证指数,3007.7393,3.2226
